,bigram,counts
0,"('digital', 'asset')",13
1,"('iot', 'device')",10
2,"('smart', 'contract')",7
3,"('blockchain', 'technology')",7
4,"('privacy', 'law')",4
5,"('genomic', 'data')",4
8,"('ownership', 'digital')",3
9,"('use', 'case')",3
7,"('intellectual', 'property')",3
6,"('unique', 'digital')",3
38,"('digital', 'image')",2
30,"('digital', 'art')",2
31,"('process', 'new')",2
32,"('content', 'creator')",2
33,"('paper', 'aim')",2
34,"('blockchain', 'account')",2
35,"('physical', 'unclonable')",2
37,"('function', 'puf')",2
43,"('owner', 'user')",2
39,"('heritage', 'sector')",2
40,"('environmental', 'impact')",2
41,"('representing', 'ownership')",2
42,"('bca', 'address')",2
28,"('market', 'time')",2
44,"('legal', 'requirement')",2
45,"('data', 'set')",2
46,"('value', 'proposition')",2
29,"('non', 'fungible')",2
36,"('unclonable', 'function')",2
27,"('ethereum', 'blockchain')",2
18,"('rarity', 'liquidity')",2
26,"('nft-based', 'patent')",2
10,"('standard', 'ethereum')",2
11,"('distinguishable', 'sign')",2
12,"('sign', 'type')",2
14,"('customized', 'value')",2
15,"('value', 'according')",2
16,"('according', 'age')",2
17,"('age', 'rarity')",2
13,"('traded', 'customized')",2
19,"('decentralized', 'application')",2
21,"('overview', 'state-of-the-art')",2
22,"('standard', 'desired')",2
23,"('real', 'estate')",2
20,"('application', 'dapp')",2
24,"('taking', 'advantage')",2
25,"('protocol', 'standard')",2
80,"('thousand', 'fold')",1
84,"('ever-expanding', 'market')",1
83,"('value', 'ever-expanding')",1
82,"('original', 'value')",1
81,"('fold', 'original')",1
78,"('exponential', 'return')",1
79,"('return', 'thousand')",1
77,"('marketplace', 'exponential')",1
76,"('dapp', 'marketplace')",1
86,"('observed', 'leading')",1
75,"('growth', 'decentralized')",1
85,"('market', 'observed')",1
95,"('still', 'infancy')",1
87,"('leading', 'worldwide')",1
88,"('worldwide', 'attention')",1
89,"('attention', 'however')",1
90,"('however', 'ecosystem')",1
91,"('ecosystem', 'nascence')",1
92,"('nascence', 'associated')",1
93,"('associated', 'technology')",1
94,"('technology', 'still')",1
96,"('infancy', 'new')",1
97,"('new', 'researcher')",1
98,"('researcher', 'might')",1
73,"('heavily', 'influenced')",1
74,"('influenced', 'growth')",1
50,"('recent', 'past')",1
72,"('ha', 'heavily')",1
71,"('trading', 'ha')",1
47,"('nonfungible', 'marketplace')",1
48,"('marketplace', 'spiked')",1
49,"('spiked', 'recent')",1
51,"('past', 'concept')",1
52,"('concept', 'originated')",1
53,"('originated', 'initially')",1
54,"('initially', 'standard')",1
55,"('ethereum', 'open-source')",1
56,"('open-source', 'blockchain')",1
57,"('blockchain', 'smart')",1
58,"('contract', 'functionality')",1
59,"('functionality', 'characterized')",1
60,"('characterized', 'distinguishable')",1
61,"('type', 'unique')",1
62,"('digital', 'property')",1
63,"('property', 'allow')",1
64,"('allow', 'distinct')",1
65,"('distinct', 'identification')",1
66,"('identification', 'distinct')",1
67,"('distinct', 'quality')",1
68,"('quality', 'fluidly')",1
69,"('fluidly', 'traded')",1
70,"('liquidity', 'trading')",1
99,"('might', 'fascinated')",1
